"uniqueid","ttxid","certificate_number","ownership_name","dba_name","full_business_address","city","state","business_zip","dba_start_date","dba_end_date","location_start_date","location_end_date","administratively_closed","mailing_address_1","mail_city","mail_zipcode","mail_state","naic_code","naic_code_description","naics_code_descriptions_list","parking_tax","transient_occupancy_tax","lic","lic_code_description","lic_code_descriptions_list","supervisor_district","neighborhoods_analysis_boundaries","business_corridor","location","data_as_of","data_loaded_at",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_jwn9_ihcz"
"1051033-01-161-1024061","1051033-01-161","1024061","Andrews Harry","640 Post St Apts","640 Post St","San Francisco","CA","94109","2014-01-01T00:00:00.000",,"2014-01-01T00:00:00.000",,,"624 Post St","San Francisco","94109","CA","5300-5399","Real Estate and Rental and Leasing Services","Real Estate and Rental and Leasing Services","false","false",,,,"3","Nob Hill",,"POINT (-122.412492 37.787967)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","50","6","3","21","50"
"1049137-01-161-1023064","1049137-01-161","1023064","Masaniai Maxine Sia","Bay Area Researcher","439 43rd Ave","San Francisco","CA","94121","2015-12-09T00:00:00.000","2019-06-30T00:00:00.000","2015-12-09T00:00:00.000","2019-06-30T00:00:00.000","***Administratively Closed",,,,,,,,"false","false",,,,"1","Outer Richmond",,"POINT (-122.5044495 37.780371)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","6","8","4","29","6"
"0413791-01-001-0413791","0413791-01-001","0413791","Khj Associates Inc","Happy Shabu Shabu","1401 Fillmore St","San Francisco","CA","94115","2007-02-15T00:00:00.000",,"2007-02-15T00:00:00.000",,,"1401 Fillmore St","San Francisco","94115","CA","7220-7229","Food Services","Food Services","false","false","D19 H25","Multiple","STORAGE & USE OF FLAMMABLE OR COMBUSTIBLE LIQUIDS; RESTAURANT 1,000 - 2,000 SQFT","5","Western Addition","Fillmore Street (Lower)","POINT (-122.4327015 37.782531)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","97","4","11","39","97"
"0457501-01-999-0457501","0457501-01-999","0457501","Kcm Systems LLC","Kcm Solutions LLC","2000 Crow Canyon Rd Pl 415","San Ramon","CA","94583","2010-01-01T00:00:00.000","2019-01-01T00:00:00.000","2010-01-01T00:00:00.000","2019-01-01T00:00:00.000",,,,,,,,,"false","false",,,,,,,"POINT (-121.995782535 37.772765853)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
"0478897-01-001-0478897","0478897-01-001","0478897","Tyler Christopher","Tyler Neuroanalytics","22 Carnelian Way","San Francisco","CA","94131","2013-05-01T00:00:00.000","2021-08-01T00:00:00.000","2013-05-01T00:00:00.000","2021-08-01T00:00:00.000",,,,,,,,,"false","false",,,,"8","Noe Valley",,"POINT (-122.4416115 37.7478)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","57","3","5","22","57"
"1211404-01-191-1097610","1211404-01-191","1097610","Michael Reyna","Waterglass Records","528 Via De La Valle Unit K","Solana Beach","CA","92075","2019-01-30T00:00:00.000",,"2019-01-30T00:00:00.000",,,"528 Via De La Valle K Unit","Solana Beach","92075","CA","7100-7199","Arts, Entertainment, and Recreation","Arts, Entertainment, and Recreation","false","false",,,,,,,"POINT (-117.258478989 32.981830986)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
"1260875-09-201-1028917","1260875-09-201","1028917","Daniel Bane Cpa","Daniel Bane Cpa","1705 Gough St","San Francisco","CA","94109","2016-01-01T00:00:00.000",,"2020-07-01T00:00:00.000",,,"1705 Gough St","San Francisco","94109","CA","5210-5239","Financial Services","Financial Services","false","false",,,,"2","Pacific Heights",,"POINT (-122.4257985 37.789254)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","102","4","6","30","102"
"0410973-01-001-0410973","0410973-01-001","0410973","Ryan Gregory E","Ryan Gregory E","40 Norton St #C","San Francisco","CA","94112","2007-01-01T00:00:00.000","2018-01-01T00:00:00.000","2007-01-01T00:00:00.000","2018-01-01T00:00:00.000","***Administratively Closed",,,,,,,,"false","false",,,,"11","Outer Mission",,"POINT (-122.435577 37.725165)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","94","9","1","28","94"
"0421470-01-001-0421470","0421470-01-001","0421470","Cerezo Armando","Elotes Poblano","2969 24th St","San Francisco","CA","94110","2007-09-11T00:00:00.000","2018-06-30T00:00:00.000","2007-09-11T00:00:00.000","2018-06-30T00:00:00.000","***Administratively Closed",,,,,,,,"false","false",,,,"9","Mission","Lower 24th Street","POINT (-122.4113625 37.752435)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","53","3","2","20","53"
"0081663-01-002-0081663","0081663-01-002","0081663","Carpeneti Richard","Carpeneti & Carpeneti","693 Sutter St 4fl","San Francisco","CA","94102","1973-01-01T00:00:00.000",,"1973-01-01T00:00:00.000",,,"2443 Fillmore St # 271","San Francisco","94115","CA","5300-5399","Real Estate and Rental and Leasing Services","Real Estate and Rental and Leasing Services","false","false",,,,"3","Nob Hill",,"POINT (-122.411646 37.788723)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","50","6","3","21","50"
