uniqueid,ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,administratively_closed,mailing_address_1,mail_city,mail_zipcode,mail_state,naic_code,naic_code_description,naics_code_descriptions_list,parking_tax,transient_occupancy_tax,lic,lic_code_description,lic_code_descriptions_list,supervisor_district,neighborhoods_analysis_boundaries,business_corridor,location,data_as_of,data_loaded_at,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md,:@computed_region_jwn9_ihcz
1293633-12-211-1130477,1293633-12-211,1130477,"Xlr8 Services, LLC","Xlr8 Services, LLC",3478 Depot Rd #,Hayward,CA,94545.0,2021-12-01T00:00:00.000,2022-01-01T00:00:00.000,2021-12-01T00:00:00.000,2022-01-01T00:00:00.000,,,,,,,,,False,False,,,,,,,POINT (-122.12725 37.638206),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
1027386-05-151-1012084,1027386-05-151,1012084,Baia Pasta,Baia Pasta,431 Water St,Oakland,CA,94607.0,2015-03-26T00:00:00.000,2019-06-30T00:00:00.000,2015-03-26T00:00:00.000,2015-03-26T00:00:00.000,,,,,,,,,False,False,,,,,,,POINT (-122.276798317 37.794496664),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
1018483-02-151-1008923,1018483-02-151,1008923,Diaz Cesar,Cnk Plumbing Co,939 Sage Ct,Salinas,CA,93905.0,2015-02-09T00:00:00.000,2015-06-15T00:00:00.000,2015-02-09T00:00:00.000,2015-06-15T00:00:00.000,,,,,,,,,False,False,,,,,,,POINT (-121.599524981 36.693937018),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
0420619-02-999-0420619,0420619-02-999,420619,Scarlet Infotech Inc,Expedien,13710 Slate Creek Ln,Houston,TX,77077.0,2010-08-17T00:00:00.000,2018-05-16T00:00:00.000,2010-08-17T00:00:00.000,2018-05-16T00:00:00.000,,,,,,,,,False,False,,,,,,,POINT (-95.630551659 29.742040547),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
1034714-07-151-1016389,1034714-07-151,1016389,Steen Charles,Steen Electric,1066 Manzanita Dr,Pacifica,CA,94044.0,2015-07-24T00:00:00.000,2015-12-31T00:00:00.000,2015-07-24T00:00:00.000,2015-12-31T00:00:00.000,,,,,,,,,False,False,,,,,,,POINT (-122.483299022 37.588413995),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
0414141-02-999-0414141,0414141-02-999,414141,Tdn Electric Inc,Tdn Electric Inc,544 E Weddell Dr 6,Sunnyvale,CA,94089.0,2012-07-11T00:00:00.000,2018-01-01T00:00:00.000,2012-07-11T00:00:00.000,2014-09-21T00:00:00.000,,,,,,,,,False,False,,,,,,,POINT (-122.014245038 37.396858003),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
1277133-05-211-1069272,1277133-05-211,1069272,Laura Kuan,Dr. Laura Kuan,141 Uptown Cir,Oakland,CA,94607.0,2017-04-17T00:00:00.000,2022-06-30T00:00:00.000,2021-05-06T00:00:00.000,2022-06-30T00:00:00.000,,,,,,,,,False,False,,,,,,,POINT (-122.280020016 37.81552602),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
1243655-01-201-1081039,1243655-01-201,1081039,Noel Chun,Noel Chun,1515 Campbell St,Oakland,CA,94607.0,2017-12-20T00:00:00.000,2024-09-03T00:00:00.000,2020-01-20T00:00:00.000,2024-09-03T00:00:00.000,,,,,,,,,False,False,,,,,,,POINT (-122.294719025 37.813053987),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
0482748-01-999-0482748,0482748-01-999,482748,Cruz Marco,Marco Cruz,2760 Dohr St,Berkeley,CA,94702.0,2013-08-28T00:00:00.000,2014-06-30T00:00:00.000,2013-08-28T00:00:00.000,2014-06-30T00:00:00.000,,,,,,,,,False,False,,,,,,,POINT (-122.281690027 37.85638302),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
0477766-01-999-0477766,0477766-01-999,477766,Ortiz Andres J,Blue Sky Janitorial Services,207 Dutra Ct,Pinole,CA,94564.0,2013-04-01T00:00:00.000,2017-03-01T00:00:00.000,2013-04-01T00:00:00.000,2017-03-01T00:00:00.000,,,,,,,,,False,False,,,,,,,POINT (-122.302266006 38.008495997),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
